,player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season,month
465,3727,3339,2017-08-11 00:00:00,,,,,,2016.0,8
468,74510,2256,2012-07-25 00:00:00,,,,,,2011.0,7
471,387450,3333,2023-09-12 00:00:00,,,,,,2022.0,9
495,74539,14394,2019-03-11 00:00:00,,,,,,2018.0,3
496,3479,3319,2021-01-14 00:00:00,,,,,,2020.0,1
497,386261,3836,2023-01-27 00:00:00,,,,,,2022.0,1
498,3789,3340,2022-08-05 00:00:00,,,,,,2021.0,8
499,3623,3339,2020-09-14 00:00:00,,,,,,2019.0,9
500,3645,3340,2023-07-01 00:00:00,,,,,,2022.0,7
501,3572,694,2022-08-25 00:00:00,,,,,,2021.0,8
