player_id,full_name,firstname,lastname,age,team_id,league_id
153425,L. Dobbin,Lewis Norman,Dobbin,21,45,39
162489,J. Trafford,James Harrington,Trafford,22,44,39
162528,D. Franchi,Denis,Franchi,22,44,39
167657,T. Onyango,Tyler Jaden,Napier Edward Onyango,21,45,39
297641,J. Metcalfe,Jenson,Metcalfe,20,45,39
298099,M. Hunt,Mackenzie James,Hunt,23,45,39
330412,Youssef Chermiti,Youssef,Ramalho Chermiti,20,45,39
894,A. Young,Ashley Simon,Young,39,45,39
2165,V. Mykolenko,Vitalii,Mykolenko,25,45,39
2934,M. Keane,Michael Vincent,Keane,31,45,39
2936,J. Tarkowski,James Alan,Tarkowski,32,45,39
17641,E. Adebayo,Elijah Anuoluwapo Oluwaferanmi,Ayomikulehin Adebayo,26,1359,39
17661,J. Branthwaite,Jarrad Paul,Branthwaite,22,45,39
18755,João Virgínia,João Manuel,Neves Virgínia,25,45,39
18758,S. Coleman,Séamus,Coleman,36,45,39
19073,B. Godfrey,Benjamin Matthew,Godfrey,26,45,39
19083,C. Morris,Carlton John,Morris,29,1359,39
19128,J. Harrison,Jack David,Harrison,28,45,39
19365,C. Ogbene,Chiedozie Somkelechukwu,Ogbene,27,1359,39
19802,J. Brown,Jacob Samuel,Brown,26,1359,39
19808,C. Woodrow,Cauley,Woodrow,30,1359,39
20069,B. Crellin,William Francis,Crellin,24,45,39
20224,A. Lonergan,Andrew Michael,Lonergan,41,45,39
138417,N. Patterson,Nathan Kenneth,Patterson,23,45,39
146325,A. Pepple,Aribusitamunoipirim Emmanuel,Pepple,22,1359,39
162714,A. Onana,Amadou Ba Zeund Georges,Mvom Onana,23,45,39
284385,E. Campbell,Elijah,Xavier Campbell,20,45,39
76,M. Nakamba,Marvelous,Nakamba,30,"1359, 66",39
906,T. Chong,Tahith Jose Girigorio,Djorkaef Chong,25,1359,39
1427,A. Sambi Lokonga,Albert-Mboyo,Sambi Lokonga,25,"1359, 42",39
2287,R. Barkley,Ross,Barkley,31,1359,39
15632,M. Andersen,Mads Juel,Andersen,27,1359,39
19408,R. Burke,Reece Frederick,James Burke,28,1359,39
19466,A. Bell,Amari'i Kyren,Bell,30,1359,39
19756,D. Potts,Daniel,Potts,30,1359,39
19759,L. Berry,Luke David,Berry,32,1359,39
19767,P. Mpanzu,Pelly Ruddock,Mpanzu,30,1359,39
19829,A. Doughty,Alfie Henry,Harman Doughty,25,1359,39
20189,J. Clark,Jordan Charles,Clark,31,1359,39
20203,T. Lockyer,Thomas Alun,Lockyer,30,1359,39
20206,G. Osho,Gabriel Jeremiah,Adedayo Osho,26,1359,39
33095,D. Hashioka,Daiki,Hashioka,25,1359,39
138901,E. Thorpe,Elliot,Morgan Thorpe,24,1359,39
153429,T. Mengi,Teden Mambuene,Mengi,22,"1359, 33",39
379627,Z. Nelson,Zack,Nelson,19,1359,39
406507,J. Johnson,Joseph Nathan,Johnson,18,1359,39
441198,J. Burger,Jake John Philip,Burger,20,1359,39
305,D. Origi,Divock,Okoth Origi,29,65,39
2298,C. Hudson-Odoi,Callum James,Hudson-Odoi,24,"65, 49",39
2991,C. Kouyaté,Cheikhou,Kouyaté,35,65,39
6056,N. Domínguez,Nicolás Martín,Domínguez,26,65,39
8471,T. Kaminski,Thomas,Kaminski,32,1359,39
