name,firstname,lastname,age,team_id,league_id
D. Randolph,Darren Edward Andrew,Randolph,36,35,39
A. Robinson,Antonee,Robinson,26,36,39
João Palhinha,João Maria,Lobo Alves Palhares Costa Palh,28,36,39
T. Francois,Tyrese Jay,Francois,23,36,39
Rodrigo Muniz,Rodrigo,Muniz Carvalho,22,36,39
M. Dibley-Dias,Matthew Max,Dibley-Dias,20,36,39
L. Harris,Luke Bernard,Harris,18,36,39
D. Tanton,Devan,Austin Tanton Pedraza,19,36,39
D. Origi,Divock,Okoth Origi,28,65,39
K. Tete,Kenny Joelle,Tete,28,36,39
B. Leno,Bernd,Leno,31,36,39
G. Montiel,Gonzalo Ariel,Montiel,26,65,39
O. Aina,Temitayo Olufisayo Olaoluwa,Aina,27,65,39
C. Kouyaté,Cheikhou,Kouyaté,34,65,39
N. Domínguez,Nicolás Martín,Domínguez,25,65,39
W. Boly,Willy-Arnaud,Zobo Boly,32,65,39
M. Gibbs-White,Morgan Anthony,Gibbs-White,23,65,39
C. Wood,Christopher Grant,Wood,32,65,39
T. Ream,Timothy Michael,Ream,36,36,39
T. Adarabioyo,Abdul-Nasir Oluwatosin,Oluwadoyinsolami Adarabioyo,26,36,39
R. Yates,Ryan James,Yates,26,65,39
S. Benda,Steven-Andreas,Benda,25,36,39
I. Sangaré,Ibrahim,Sangaré,26,65,39
A. Omobamidele,Andrew Abiola,Omobamidele,21,65,39
C. Bassey,Calvin,Bassey,24,36,39
A. Elanga,Anthony David,Junior Elanga,21,"65, 33",39
Danilo,Danilo,dos Santos de Oliveira,22,65,39
Murillo,Murillo,Santiago Costa dos Santos,21,65,39
E. Horvath,Ethan Shea,Horvath,28,65,39
A. Danjuma,Arnaut,Danjuma Adam Groeneveld,26,45,39
S. Aurier,Sèrge Alain Stéphane,Aurier,31,65,39
J. Garner,James David,Garner,22,45,39
J. Worrall,Joseph Adrian,Worrall,26,65,39
I. Gueye,Idrissa Gana,Gueye,34,45,39
H. Toffolo,Harry Stefano,Toffolo,28,65,39
André Gomes,André Filipe,Tavares Gomes,30,45,39
A. Doucouré,Abdoulaye,Doucouré,30,45,39
W. Hennessey,Wayne Robert,Hennessey,36,65,39
D. McNeil,Dwight James Matthew,McNeil,24,45,39
M. Niakhaté,Moussa,Niakhaté,27,65,39
Nuno Tavares,Nuno Albertino,Varela Tavares,23,"65, 42",39
M. Turner,Matthew Charles,Turner,29,"65, 42",39
Beto,Norberto Bercique,Gomes Betuncal,25,45,39
N. Williams,Neco Shay,Williams,22,65,39
L. Dobbin,Lewis Norman,Dobbin,20,45,39
T. Onyango,Tyler Jaden,Napier Edward Onyango,20,45,39
G. Shelvey,George William,Shelvey,22,65,39
M. Hunt,Mackenzie James,Hunt,22,45,39
D. Alli,Bamidele Jermaine,Alli,27,45,39
A. Young,Ashley Simon,Young,38,45,39
O. Édouard,Odsonne,Édouard,25,52,39
V. Mykolenko,Vitalii,Mykolenko,24,45,39
J. Pickford,Jordan Lee,Pickford,29,45,39
M. Keane,Michael Vincent,Keane,30,45,39
J. Tarkowski,James Alan,Tarkowski,31,45,39
J. Branthwaite,Jarrad Paul,Branthwaite,21,45,39
João Virgínia,João Manuel,Neves Virgínia,24,45,39
S. Coleman,Séamus,Coleman,35,45,39
B. Godfrey,Benjamin Matthew,Godfrey,25,45,39
J. Harrison,Jack David,Harrison,27,45,39
B. Crellin,William Francis,Crellin,23,45,39
A. Lonergan,Andrew Michael,Lonergan,40,45,39
J. Mateta,Jean-Philippe,Mateta,26,52,39
J. Raymond,Jadan,Raymond,20,52,39
A. Ola-Adebomi,Ademola,Oladipupo Ola-Adebomi,20,52,39
D. Ozoh,David Ikechukwu,Ozoh,18,52,39
Matheus França,Matheus,França de Oliveira,19,52,39
M. Ebiowei,Malcolm,Perewari Ebiowei,20,52,39
Nélson Semedo,Nélson,Cabral Semedo,30,39,39
Philippe Coutinho,Philippe,Coutinho Correia,31,66,39
R. Mahrez,Riyad Karim,Mahrez,32,50,39
O. Zinchenko,Oleksandr,Zinchenko,27,42,39
Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,27,39,39
R. Rúnarsson,Rúnar Alex,Rúnarsson,28,42,39
Jonny,Jonathan,Castro Otto,29,39,39
M. Kilman,Maximilian William,Kilman,26,39,39
M. Lemina,Mario René Junior,Lemina,30,39,39
R. Aït-Nouri,Rayan,Aït-Nouri,22,39,39
M. Ødegaard,Martin,Ødegaard,25,42,39
J. Timber,Jurriën David Norman,Timber,22,42,39
Toti Gomes,Tote António,Gomes,24,39,39
G. Biancone,Giulian,Biancone,23,65,39
J. Panzo,Jonathan William,Panzo,23,65,39
Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,22,42,39
S. Bueno,Santiago Ignacio,Bueno Sciutto,25,39,39
B. Traoré,Boubacar,Traoré,22,39,39
Hugo Bueno,Hugo,Bueno López,21,39,39
Marc Jurado,Marc,Jurado Gómez,19,33,39
Matheus Cunha,Matheus Santos,Carneiro da Cunha,24,39,39
R. Holding,Robert Samuel,Holding,28,"52, 42",39
J. Lerma,Jefferson Andrés,Lerma Solís,29,52,39
J. Andersen,Joachim Christian,Andersen,27,52,39
S. Kalajdzic,Saša,Kalajdžić,26,39,39
W. Hughes,William James,Hughes,28,52,39
J. Schlupp,Jeffrey,Schlupp,31,52,39
J. Ward,Joel Edward Philip,Ward,34,52,39
N. Clyne,Nathaniel Edwin,Clyne,32,52,39
D. Henderson,Dean Bradley,Henderson,26,"52, 33",39
E. Eze,Eberechi Oluchi,Eze,25,52,39
M. Olise,Michael Akpovie,Olise,22,52,39
R. Matthews,Remi Luke,Matthews,29,52,39
C. Richards,Christopher Jeffrey,Richards,23,52,39
N. Ferguson,Nathan Kirk-Patrick,Ferguson,23,52,39
