player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season
290561,12772,2021-01-30 00:00:00,,,,,,2020.0
301684,605,2021-01-31 00:00:00,,,,,,2020.0
284891,12250,2021-02-22 00:00:00,,,,,,2020.0
74673,2599,2019-10-07 00:00:00,,,,,,2018.0
134077,4333,2011-07-01 00:00:00,,,,,,2010.0
3595,1019,2019-08-28 00:00:00,,,,,,2018.0
3529,3321,2015-01-31 00:00:00,,,,,,2014.0
3599,2659,2019-07-01 00:00:00,,,,,,2018.0
133594,605,2012-08-29 00:00:00,,,,,,2011.0
3602,7257,2021-07-01 00:00:00,,,,,,2020.0
4161,694,2013-08-30 00:00:00,,,,,,2012.0
278588,13855,2018-01-01 00:00:00,,,,,,2017.0
3592,2261,2019-08-21 00:00:00,,,,,,2018.0
4332,3336,2018-08-31 00:00:00,,,,,,2017.0
74580,605,2015-08-31 00:00:00,,,,,,2014.0
4028,3321,2014-01-24 00:00:00,,,,,,2013.0
14321,4356,2013-08-15 00:00:00,,,,,,2012.0
106917,574,2015-07-01 00:00:00,,,,,,2014.0
66978,3739,2017-08-17 00:00:00,,,,,,2016.0
3524,605,2019-08-20 00:00:00,,,,,,2018.0
31216,605,2021-07-23 00:00:00,,,,,,2020.0
30774,495,2021-07-01 00:00:00,,,,,,2020.0
74552,605,2016-01-08 00:00:00,,,,,,2015.0
57000,605,2016-08-05 00:00:00,,,,,,2015.0
66290,605,2017-08-31 00:00:00,,,,,,2016.0
3604,605,2017-01-30 00:00:00,,,,,,2016.0
3786,3325,2013-08-10 00:00:00,,,,,,2012.0
74628,4021,2018-06-21 00:00:00,,,,,,2017.0
3542,3320,2018-08-07 00:00:00,,,,,,2017.0
3536,708,2016-06-20 00:00:00,,,,,,2015.0
3598,3787,2019-06-04 00:00:00,,,,,,2018.0
3750,694,2013-07-26 00:00:00,,,,,,2012.0
210728,4375,2012-01-01 00:00:00,,,,,,2011.0
131382,5727,2015-01-01 00:00:00,,,,,,2014.0
74607,2542,2016-09-01 00:00:00,,,,,,2015.0
74517,627,2018-07-01 00:00:00,,,,,,2017.0
3538,605,2020-10-02 00:00:00,,,,,,2019.0
3590,680,2019-08-05 00:00:00,,,,,,2018.0
76349,4558,2017-06-17 00:00:00,,,,,,2016.0
210727,946,2012-08-15 00:00:00,,,,,,2011.0
7292,605,2021-07-23 00:00:00,,,,,,2020.0
10652,605,2015-07-08 00:00:00,,,,,,2014.0
100241,605,2020-10-02 00:00:00,,,,,,2019.0
137396,605,2019-08-31 00:00:00,,,,,,2018.0
3682,694,2017-09-29 00:00:00,,,,,,2016.0
74138,11147,2014-09-25 00:00:00,,,,,,2013.0
100398,3325,2012-07-01 00:00:00,,,,,,2011.0
3721,3318,2017-08-01 00:00:00,,,,,,2016.0
74553,694,2013-08-30 00:00:00,,,,,,2012.0
74134,3319,2015-08-31 00:00:00,,,,,,2014.0
42951,2606,2017-07-27 00:00:00,,,,,,2016.0
3516,3317,2010-01-30 00:00:00,,,,,,2009.0
69190,7507,2019-09-10 00:00:00,,,,,,2018.0
145753,7507,2018-09-01 00:00:00,,,,,,2017.0
115767,15106,2015-01-01 00:00:00,,,,,,2014.0
210348,3885,2014-08-29 00:00:00,,,,,,2013.0
385976,20139,2011-08-01 00:00:00,,,,,,2010.0
160977,3885,2018-01-30 00:00:00,,,,,,2017.0
74504,627,2018-07-01 00:00:00,,,,,,2017.0
3603,3595,2022-07-01 00:00:00,,,,,,2021.0
3611,3320,2020-09-28 00:00:00,,,,,,2019.0
119355,3499,2022-08-19 00:00:00,,,,,,2021.0
145759,7507,2016-09-01 00:00:00,,,,,,2015.0
4275,3838,2015-09-11 00:00:00,,,,,,2014.0
210976,11147,2013-10-20 00:00:00,,,,,,2012.0
268119,3334,2015-09-11 00:00:00,,,,,,2014.0
3656,4671,2023-09-21 00:00:00,,,,,,2022.0
286675,17740,2022-09-29 00:00:00,,,,,,2021.0
338315,3334,2023-09-21 00:00:00,,,,,,2022.0
4274,3334,2018-08-01 00:00:00,,,,,,2017.0
341031,3334,2023-09-21 00:00:00,,,,,,2022.0
145758,11147,2013-10-20 00:00:00,,,,,,2012.0
286676,3836,2022-08-31 00:00:00,,,,,,2021.0
3461,20406,2023-07-01 00:00:00,,,,,,2022.0
80531,605,2021-08-28 00:00:00,,,,,,2020.0
3596,581,2020-02-01 00:00:00,,,,,,2019.0
3489,12832,2021-07-16 00:00:00,,,,,,2020.0
156144,605,2021-07-15 00:00:00,,,,,,2020.0
54647,214,2016-08-01 00:00:00,,,,,,2015.0
3920,3325,2019-07-02 00:00:00,,,,,,2018.0
27080,605,2018-08-31 00:00:00,,,,,,2017.0
3723,3318,2018-08-01 00:00:00,,,,,,2017.0
284890,9030,2022-01-10 00:00:00,,,,,,2021.0
54418,7858,2017-01-18 00:00:00,,,,,,2016.0
3606,616,2019-07-01 00:00:00,,,,,,2018.0
3608,9390,2019-08-01 00:00:00,,,,,,2018.0
137403,3885,2020-01-31 00:00:00,,,,,,2019.0
74610,3320,2016-08-15 00:00:00,,,,,,2015.0
3614,680,2020-01-07 00:00:00,,,,,,2019.0
3759,5499,2023-01-22 00:00:00,,,,,,2022.0
145754,3318,2011-08-31 00:00:00,,,,,,2010.0
268404,10726,2019-09-01 00:00:00,,,,,,2018.0
3553,3836,2023-09-15 00:00:00,,,,,,2022.0
3607,3326,2019-08-31 00:00:00,,,,,,2018.0
265515,3321,2021-07-01 00:00:00,,,,,,2020.0
3727,3339,2017-08-11 00:00:00,,,,,,2016.0
74510,2256,2012-07-25 00:00:00,,,,,,2011.0
387450,3333,2023-09-12 00:00:00,,,,,,2022.0
74539,14394,2019-03-11 00:00:00,,,,,,2018.0
3479,3319,2021-01-14 00:00:00,,,,,,2020.0
386261,3836,2023-01-27 00:00:00,,,,,,2022.0
3789,3340,2022-08-05 00:00:00,,,,,,2021.0
3623,3339,2020-09-14 00:00:00,,,,,,2019.0
3645,3340,2023-07-01 00:00:00,,,,,,2022.0
3572,694,2022-08-25 00:00:00,,,,,,2021.0
